epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0024,1.64612,3.26977,0.0123,0.47391,0.41337,0.34377,0.15294,1.96087,5.02538,0.01642,0.000328042,0.000328042,0.0675238
2,97.4408,1.53872,1.72043,0.01052,0.6102,0.67685,0.66388,0.29448,1.96864,1.65699,0.01768,0.000661304,0.000661304,0.0345237
3,128.146,1.49318,1.3735,0.00967,0.72265,0.70394,0.76519,0.38662,1.8703,1.35651,0.01635,0.000994277,0.000994277,0.00152338
4,159.002,1.5877,1.28361,0.00985,0.82248,0.79189,0.84581,0.44838,1.55117,1.20753,0.0129,0.000999023,0.000999023,0.000999023
5,189.459,1.4841,1.04722,0.00973,0.82863,0.78013,0.82062,0.29283,2.232,1.10386,0.0184,0.000998264,0.000998264,0.000998264
6,220.259,1.49693,1.05241,0.00982,0.88599,0.83834,0.91785,0.47122,1.72519,0.89722,0.01428,0.000997288,0.000997288,0.000997288
7,250.714,1.51194,0.96119,0.01053,0.92295,0.84773,0.92502,0.44448,1.84616,0.91184,0.01638,0.000996097,0.000996097,0.000996097
8,280.989,1.47297,0.87589,0.00943,0.89008,0.86192,0.91788,0.38733,1.86562,0.86863,0.01562,0.00099469,0.00099469,0.00099469
9,311.068,1.44875,0.91316,0.00956,0.86484,0.84439,0.91026,0.41938,1.86196,0.97773,0.01598,0.000993068,0.000993068,0.000993068
10,342.534,1.39303,0.82541,0.00902,0.91163,0.88631,0.95122,0.50544,1.60698,0.73406,0.01362,0.000991232,0.000991232,0.000991232
11,374.139,1.38373,0.79706,0.00862,0.93221,0.87303,0.94865,0.44049,1.90006,0.85608,0.01617,0.000989183,0.000989183,0.000989183
12,405.065,1.35399,0.74041,0.0084,0.92958,0.90737,0.96557,0.54902,1.45875,0.65661,0.01131,0.000986922,0.000986922,0.000986922
13,435.978,1.36909,0.74776,0.00896,0.92954,0.9031,0.96562,0.49658,1.67667,0.6869,0.01426,0.000984449,0.000984449,0.000984449
14,466.803,1.37002,0.69742,0.00795,0.93676,0.90931,0.96533,0.45874,1.75463,0.68179,0.01397,0.000981765,0.000981765,0.000981765
15,497.589,1.37275,0.70856,0.0087,0.93625,0.91313,0.97098,0.45705,1.91269,0.65339,0.01594,0.000978873,0.000978873,0.000978873
16,528.174,1.29576,0.66438,0.00806,0.92921,0.91551,0.97252,0.58016,1.40281,0.53452,0.01109,0.000975773,0.000975773,0.000975773
